name,lng,lat
赤沙,113.363011,23.08446
琶洲,113.368176,23.09908
员村,113.36364,23.114105
天河公园,113.362879,23.125317
华景路,113.359543,23.133967
华师,113.343823,23.140607
龙口西,113.33681,23.141525
广州东站,113.325729,23.152156
沙河,113.312677,23.151654
云台花园,113.292853,23.153917
大金钟,113.277242,23.161761
中医药大学,113.268992,23.157208
梓元岗,113.263033,23.153492
广州火车站,113.257792,23.147578
流花,113.257184,23.139449
彩虹桥,113.246312,23.134987
中山八,113.233575,23.126145
如意坊,113.231208,23.114978
石围塘,113.225207,23.103586
芳村,113.236547,23.098285
大冲口,113.244654,23.088937
沙涌,113.247369,23.083408
鹤洞东,113.25063,23.072038
棣园,113.264429,23.072846
燕岗,113.271956,23.076797
江泰路,113.278975,23.081901
五凤,113.296782,23.082014
逸景路,113.304165,23.081997
上涌,113.312833,23.079787
大塘,113.323249,23.077969
龙潭,113.340364,23.079198
赤沙,113.363011,23.08446
